City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Bosaso,SO,2021-10-21 14:12:38,11.2842,49.1816,84.96,42,85,7.9
246,Tomatlan,MX,2021-10-21 14:12:39,19.9333,-105.25,76.86,88,2,2.93
247,Sao Filipe,CV,2021-10-21 14:12:39,14.8961,-24.4956,83.37,59,8,7.36
248,Balkanabat,TM,2021-10-21 14:12:39,39.5108,54.3671,57.88,32,0,8.37
249,Saint-Philippe,RE,2021-10-21 14:12:40,-21.3585,55.7679,77.49,76,59,7.85
250,Bethel,US,2021-10-21 14:12:40,41.3712,-73.414,67.19,71,1,1.01
251,Cayenne,GF,2021-10-21 14:12:41,4.9333,-52.3333,87.84,79,0,7.0
252,Talnakh,RU,2021-10-21 14:12:41,69.4865,88.3972,20.93,96,100,4.43
253,Ossora,RU,2021-10-21 14:12:42,59.2353,163.0719,16.11,79,17,6.13
254,Beringovskiy,RU,2021-10-21 14:12:18,63.05,179.3167,18.88,88,100,12.19
255,Codrington,AU,2021-10-21 14:12:43,-38.2667,141.9667,54.7,96,37,3.0
256,Te Anau,NZ,2021-10-21 14:12:44,-45.4167,167.7167,38.25,95,23,1.28
257,Khandyga,RU,2021-10-21 14:12:16,62.6667,135.6,11.61,98,98,3.18
258,Nanjing,CN,2021-10-21 14:12:45,32.0617,118.7778,55.45,72,100,4.36
259,Riyadh,SA,2021-10-21 14:09:37,24.6877,46.7219,91.54,15,0,8.75
260,Karoi,ZW,2021-10-21 14:12:45,-16.8099,29.6925,79.66,34,84,9.95
261,Flinders,AU,2021-10-21 14:12:46,-34.5833,150.8552,64.38,84,100,3.0
262,Kourou,GF,2021-10-21 14:12:46,5.1552,-52.6478,87.85,76,76,9.64
263,Mildura,AU,2021-10-21 14:12:47,-34.2,142.15,69.76,49,2,13.8
264,Pisco,PE,2021-10-21 14:12:47,-13.7,-76.2167,64.45,77,40,6.91
265,Egvekinot,RU,2021-10-21 14:12:48,66.3167,-179.1667,18.68,96,100,3.31
266,Melbu,NO,2021-10-21 14:12:48,68.5044,14.8297,37.22,80,75,14.97
267,Tevaitoa,PF,2021-10-21 14:12:49,-16.7833,-151.5,77.99,77,3,8.12
268,Voh,NC,2021-10-21 14:12:49,-20.9667,164.7,67.5,92,100,3.58
269,Samandag,TR,2021-10-21 14:12:49,36.0842,35.9771,81.12,45,0,2.28
270,Faya,SA,2021-10-21 14:12:50,18.3851,42.4509,75.72,19,49,13.35
271,Touros,BR,2021-10-21 14:12:51,-5.1989,-35.4608,86.9,59,26,12.57
272,Pafos,CY,2021-10-21 14:12:51,34.7667,32.4167,78.71,53,20,5.75
273,Betioky,MG,2021-10-21 14:12:51,-23.7167,44.3833,74.62,49,71,14.29
274,Sao Joao Da Barra,BR,2021-10-21 14:12:52,-21.6403,-41.0511,71.69,82,100,8.61
275,Awjilah,LY,2021-10-21 14:12:52,29.1081,21.2869,82.89,30,0,7.45
276,Naze,JP,2021-10-21 14:12:53,28.3667,129.4833,66.56,86,100,23.35
277,Yumen,CN,2021-10-21 14:12:53,40.2833,97.2,46.94,25,4,4.36
278,Vila Franca Do Campo,PT,2021-10-21 14:12:54,37.7167,-25.4333,72.01,58,68,3.69
279,Exaplatanos,GR,2021-10-21 14:12:54,40.9772,22.125,70.9,82,1,1.01
280,Gajraula,IN,2021-10-21 14:12:55,28.85,78.2333,75.4,39,0,5.12
281,Ville-Marie,CA,2021-10-21 14:12:55,47.3335,-79.433,38.46,94,100,6.38
282,Alihe,CN,2021-10-21 14:12:55,50.5667,123.7167,31.03,75,12,3.49
283,San Andres,CO,2021-10-21 14:12:56,12.5847,-81.7006,86.02,70,75,5.75
284,Gimbi,ET,2021-10-21 14:12:56,9.1667,35.8333,67.06,71,10,2.82
285,Abalak,RU,2021-10-21 14:12:57,58.1286,68.5944,33.62,97,100,9.24
286,Pangody,RU,2021-10-21 14:12:57,65.85,74.4859,28.35,82,26,2.19
287,Hot Springs,US,2021-10-21 14:12:58,34.5037,-93.0552,67.71,74,75,5.01
288,Faranah,GN,2021-10-21 14:12:58,10.0404,-10.7434,83.59,66,65,3.69
289,San Quintin,MX,2021-10-21 14:12:59,30.4833,-115.95,59.43,84,0,7.07
290,Erenhot,CN,2021-10-21 14:12:59,43.6475,111.9767,39.67,43,0,3.74
291,Kawalu,ID,2021-10-21 14:13:00,-7.3817,108.2082,73.89,96,100,2.13
292,Pedro Carbo,EC,2021-10-21 14:13:00,-1.8333,-80.2333,75.2,76,100,4.88
293,Thinadhoo,MV,2021-10-21 14:13:00,0.5333,72.9333,83.1,71,27,10.78
294,Roald,NO,2021-10-21 14:13:01,62.5833,6.1333,43.0,65,40,28.77
