City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Kavaratti,IN,82.71,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
222,Campina Verde,BR,89.83,scattered clouds,-19.5356,-49.4864,Hotel Lino
223,George Town,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
229,Akyab,MM,78.69,overcast clouds,20.15,92.9,Hotel Memory
232,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
236,Tecoanapa,MX,84.87,broken clouds,16.5167,-98.75,Hotel Manglares
240,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
246,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
250,Trat,TH,75.29,overcast clouds,12.5,102.5,สวนหนิง-อัศ
251,Luganville,VU,77.13,clear sky,-15.5333,167.1667,The Espiritu Hotel
255,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
256,Pandan,PH,79.27,overcast clouds,14.0453,124.1694,Bonifacio Lodge
257,Kalabo,ZM,78.87,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
258,Santa Cruz Del Sur,CU,85.62,scattered clouds,20.7147,-77.9956,
262,Sabang,ID,81.63,overcast clouds,5.8933,95.3214,Hotel Citra
264,Lorengau,PG,81.23,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
265,Samarai,PG,80.94,broken clouds,-10.6167,150.6667,Nuli Sapi
266,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
271,Abilene,US,84.69,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
276,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
279,Santana Do Livramento,BR,76.86,clear sky,-30.8908,-55.5328,Hotel Emirates
280,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
282,Sao Filipe,CV,78.87,broken clouds,14.8961,-24.4956,Hotel Xaguate
284,Gizo,SB,81.77,light rain,-8.103,156.8419,Imagination Island
291,Saint-Pierre,RE,75.29,broken clouds,-21.3393,55.4781,Lindsey Hôtel
294,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
