City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Garmsar,IR,35.2182,52.3409,64.26,24,6,5.1,clear sky
222,Campina Verde,BR,-19.5356,-49.4864,89.83,33,30,5.44,scattered clouds
223,George Town,MY,5.4112,100.3354,82.33,84,40,0.0,scattered clouds
224,Provideniya,RU,64.3833,-173.3,15.64,86,68,7.38,broken clouds
225,Nedjo,ET,9.5046,35.5019,58.95,90,34,2.95,light rain
226,Hamilton,US,39.1834,-84.5333,64.42,88,90,1.01,overcast clouds
227,Zholymbet,KZ,51.7433,71.7122,48.65,49,100,11.48,overcast clouds
228,Pokhara,NP,28.2333,83.9833,59.43,79,0,7.63,clear sky
229,Akyab,MM,20.15,92.9,78.69,77,98,3.09,overcast clouds
230,Yuncheng,CN,35.0231,110.9928,58.06,64,98,1.34,overcast clouds
231,Husavik,IS,66.0449,-17.3389,35.51,81,42,8.5,scattered clouds
232,Natal,BR,-5.795,-35.2094,88.45,66,40,18.41,scattered clouds
233,Kajaani,FI,64.2273,27.7285,35.65,100,90,4.61,overcast clouds
234,Beringovskiy,RU,63.05,179.3167,10.6,77,100,5.44,overcast clouds
235,Airai,TL,-8.9266,125.4092,61.77,91,69,0.27,broken clouds
236,Tecoanapa,MX,16.5167,-98.75,84.87,67,83,1.9,broken clouds
237,Bako,ET,5.7833,36.5667,70.65,54,95,5.01,overcast clouds
238,Yambio,SS,4.5721,28.3955,67.08,96,99,1.83,light rain
239,Heihe,CN,50.2441,127.4902,41.58,64,0,4.47,clear sky
240,Paka,MY,4.6374,103.4368,78.73,94,93,0.0,overcast clouds
241,Ust-Maya,RU,60.4167,134.5333,28.94,99,99,3.13,light snow
242,Hasaki,JP,35.7333,140.8333,57.6,84,100,27.58,heavy intensity rain
243,Rio Gallegos,AR,-51.6226,-69.2181,48.25,31,40,40.29,scattered clouds
244,Samarkand,UZ,39.6542,66.9597,51.22,43,48,0.0,scattered clouds
245,Flinders,AU,-34.5833,150.8552,56.48,79,28,5.91,scattered clouds
246,Georgetown,MY,5.4112,100.3354,82.33,84,40,1.01,scattered clouds
247,Fort-Shevchenko,KZ,44.5086,50.263,49.14,68,100,20.13,overcast clouds
248,Wellington,NZ,-41.2866,174.7756,59.67,89,45,1.01,scattered clouds
249,Hualmay,PE,-11.0964,-77.6139,67.78,69,40,11.7,scattered clouds
250,Trat,TH,12.5,102.5,75.29,88,90,6.71,overcast clouds
251,Luganville,VU,-15.5333,167.1667,77.13,85,9,5.53,clear sky
252,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,83,20,7.96,few clouds
253,Lisakovsk,KZ,52.5369,62.4936,38.48,95,100,12.86,light rain
254,Las Vegas,US,36.175,-115.1372,73.18,37,1,13.8,clear sky
255,Quatre Cocos,MU,-20.2078,57.7625,75.31,74,25,16.31,light rain
256,Pandan,PH,14.0453,124.1694,79.27,86,98,7.85,overcast clouds
257,Kalabo,ZM,-14.97,22.6814,78.87,50,78,6.51,broken clouds
258,Santa Cruz Del Sur,CU,20.7147,-77.9956,85.62,67,41,6.96,scattered clouds
259,Port Hardy,CA,50.6996,-127.4199,53.6,81,75,23.02,broken clouds
